text,label
"I absolutely love this product, it works perfectly",positive
"Best purchase I have made all year, highly recommend",positive
"Fantastic quality and fast shipping, very happy",positive
"This is wonderful and exceeded my expectations",positive
"Great value and excellent customer service",positive
"I am thrilled with how well this works",positive
"Amazing experience, would buy again",positive
"Really pleased, the build quality is superb",positive
"Delighted with my order, five stars",positive
"Works like a charm and looks beautiful",positive
"Terrible product, broke after one day",negative
"Worst purchase ever, complete waste of money",negative
"Very disappointed, it did not work at all",negative
"Awful quality and slow shipping, do not buy",negative
"I hate this, it is cheap and useless",negative
"Horrible experience, the item arrived damaged",negative
"Regret buying this, it stopped working quickly",negative
"Poor build quality and terrible support",negative
"Completely useless, returning it immediately",negative
"Frustrating and unreliable, would not recommend",negative
"It is okay, nothing special but does the job",neutral
"Average product, neither good nor bad",neutral
"Decent enough for the price, no complaints",neutral
"It works, though the instructions were unclear",neutral
"Fine overall, met my basic expectations",neutral
"Not bad, not great, just acceptable",neutral
"Reasonable quality, does what it says",neutral
"Middling experience, could be better or worse",neutral
"It functions as described, fairly ordinary",neutral
"Standard product, gets the job done adequately",neutral
